time,temp,humidity
18:09:28,10.00,26.00
18:09:30,10.00,26.00
18:09:32,10.00,26.00
18:09:34,10.00,26.00
18:09:36,10.00,26.00
18:09:38,10.00,26.00
18:09:40,10.00,26.00
18:09:42,10.00,26.00
18:09:44,10.00,26.00
18:09:46,10.00,26.00
18:09:48,10.00,26.00
18:09:50,10.00,26.00
18:09:52,10.00,26.00
18:09:54,10.00,26.00
18:09:56,10.00,26.00
18:09:59,10.00,26.00
18:10:01,10.00,26.00
18:10:03,10.00,26.00
18:10:05,10.00,26.00
18:10:07,10.00,26.00
18:10:09,10.00,26.00
18:10:11,10.00,26.00
18:10:13,10.00,26.00
18:10:15,10.00,26.00
18:10:17,10.00,26.00
18:10:19,10.00,26.00
18:10:21,10.00,26.00
18:10:23,10.00,26.00
18:10:25,10.00,26.00
18:10:27,10.00,26.00
18:10:29,10.00,26.00
18:10:31,10.00,26.00
18:10:33,10.00,26.00
18:10:35,10.00,26.00
18:10:37,10.00,26.00
18:10:39,10.00,26.00
18:10:41,10.00,26.00
18:10:43,10.00,26.00
18:10:45,10.00,26.00
18:10:48,10.00,26.00
18:10:50,10.00,26.00
18:10:52,10.00,26.00
18:10:54,10.00,26.00
18:10:56,10.00,26.00
18:10:58,10.00,26.00
18:11:00,10.00,26.00
18:11:02,10.00,26.00
18:11:04,10.00,26.00
18:11:06,10.00,26.00
18:11:08,10.00,26.00
18:11:10,10.00,26.00
18:11:12,10.00,26.00
18:11:14,10.00,26.00
18:11:16,10.00,26.00
18:11:18,10.00,26.00
18:11:20,10.00,26.00
18:11:22,10.00,26.00
18:11:24,10.00,26.00
18:11:26,10.00,26.00
18:11:28,10.00,26.00
18:11:30,10.00,26.00
18:11:32,10.00,26.00
18:11:34,10.00,26.00
18:11:37,10.00,26.00
18:11:39,10.00,26.00
18:11:41,10.00,26.00
18:11:43,10.00,26.00
18:11:45,10.00,26.00
18:11:47,10.00,26.00
18:11:49,10.00,26.00
18:11:51,10.00,26.00
18:11:53,10.00,26.00
18:11:55,10.00,26.00
18:11:57,10.00,26.00
18:11:59,10.00,26.00
18:12:01,10.00,26.00
18:12:03,10.00,26.00
18:12:05,10.00,26.00
18:12:07,10.00,26.00
18:12:09,10.00,26.00
18:12:11,10.00,26.00
18:12:13,10.00,26.00
18:12:15,10.00,26.00
18:12:17,10.00,26.00
18:12:19,10.00,26.00
18:12:21,10.00,26.00
18:12:23,10.00,26.00
18:12:26,10.00,26.00
18:12:28,9.00 ,26.00
18:12:30,10.00,26.00
18:12:32,9.00 ,26.00
18:12:34,9.00 ,26.00
18:12:36,10.00,26.00
18:12:38,10.00,26.00
18:12:40,9.00 ,26.00
18:12:42,9.00 ,26.00
18:12:44,9.00 ,26.00
18:12:46,9.00 ,26.00
18:12:48,9.00 ,26.00
18:12:50,9.00 ,26.00
18:12:52,9.00 ,26.00
18:12:54,9.00 ,26.00
18:12:56,9.00 ,26.00
18:12:58,9.00 ,26.00
18:13:00,9.00 ,26.00
18:13:02,9.00 ,26.00
18:13:04,9.00 ,26.00
18:13:06,9.00 ,26.00
18:13:08,9.00 ,26.00
18:13:10,9.00 ,26.00
18:13:12,10.00,26.00
18:13:15,9.00 ,26.00
18:13:17,9.00 ,26.00
18:13:19,9.00 ,26.00
18:13:21,9.00 ,26.00
18:13:23,9.00 ,26.00
18:13:25,9.00 ,26.00
18:13:27,9.00 ,26.00
18:13:29,9.00 ,26.00
18:13:31,9.00 ,26.00
18:13:33,9.00 ,26.00
18:13:35,9.00 ,26.00
18:13:37,9.00 ,26.00
18:13:39,9.00 ,26.00
18:13:41,9.00 ,26.00
18:13:43,9.00 ,26.00
18:13:45,9.00 ,26.00
18:13:47,9.00 ,26.00
18:13:49,9.00 ,26.00
18:13:51,9.00 ,26.00
18:13:53,9.00 ,26.00
18:13:55,9.00 ,26.00
18:13:57,9.00 ,26.00
18:13:59,9.00 ,26.00
18:14:01,9.00 ,26.00
18:14:04,9.00 ,26.00
18:14:06,9.00 ,26.00
18:14:08,9.00 ,26.00
18:14:10,9.00 ,26.00
18:14:12,9.00 ,26.00
18:14:14,9.00 ,26.00
18:14:16,9.00 ,26.00
18:14:18,9.00 ,26.00
18:14:20,9.00 ,26.00
18:14:22,9.00 ,26.00
18:14:24,9.00 ,26.00
18:14:26,9.00 ,26.00
18:14:28,9.00 ,26.00
18:14:30,9.00 ,26.00
18:14:32,9.00 ,26.00
18:14:34,9.00 ,26.00
18:14:36,9.00 ,26.00
18:14:38,9.00 ,26.00
18:14:40,9.00 ,26.00
18:14:42,9.00 ,26.00
18:14:44,9.00 ,26.00
18:14:46,9.00 ,26.00
18:14:48,9.00 ,26.00
18:14:50,9.00 ,26.00
18:14:53,9.00 ,26.00
18:14:55,9.00 ,26.00
18:14:57,9.00 ,26.00
18:14:59,9.00 ,26.00
18:15:01,9.00 ,26.00
18:15:03,9.00 ,26.00
18:15:05,9.00 ,26.00
18:15:07,9.00 ,26.00
18:15:09,9.00 ,26.00
18:15:11,9.00 ,26.00
18:15:13,9.00 ,26.00
18:15:15,9.00 ,26.00
18:15:17,9.00 ,26.00
18:15:19,9.00 ,26.00
18:15:21,9.00 ,26.00
18:15:23,9.00 ,26.00
18:15:25,9.00 ,26.00
18:15:27,9.00 ,26.00
18:15:29,9.00 ,26.00
18:15:31,9.00 ,26.00
18:15:33,9.00 ,26.00
18:15:35,9.00 ,26.00
18:15:37,9.00 ,26.00
18:15:39,9.00 ,26.00
18:15:42,9.00 ,26.00
18:15:44,9.00 ,26.00
18:15:46,9.00 ,26.00
18:15:48,9.00 ,26.00
